Word,Frequency,Line Number,Line Content
,,2202,"Biȝonde þe broke, in a bonk, a wonder breme noyse,"
,,2203,"Quat! hit clatered in þe clyff, as hit cleue schulde,"
,,2215,'Who stiȝtlez in þis sted me steuen to holde?
,,2220,'And þou schal haf al in hast þat I þe hyȝt ones.'
,,2227,"Fyled in a fylor, fowre fote large--"
,,2229,"And þe gome in þe grene gered as fyrst,"
,,2247,And we ar in þis valay verayly oure one;
,,2261,"THEN þe gome in þe grene grayþed hym swyþe,"
,,2263,"With alle þe bur in his body he ber hit on lofte,"
,,2277,Ne kest no kauelacion in kyngez hous Arthor.
,,2279,"And þou, er any harme hent, arȝez in hert;"
,,2296,Þat raþeled is in roché grounde with rotez a hundreth.
,,2297,"Þen muryly efte con he mele, þe mon in þe grene:"
,,2323,Watz he neuer in þis worlde wyȝe half so blyþe--
,,2325,"I haf a stroke in þis sted withoute stryf hent,"
,,2331,Fermed in Arþurez hallez--
,,2337,"Armed, ful aȝlez: in hert hit hym lykez."
,,2349,"For þe forwarde þat we fest in þe fyrst nyȝt,"
,,2367,"So is Gawayn, in god fayth, bi oþer gay knyȝtez."
,,2371,"Þat oþer stif mon in study stod a gret whyle,"
,,2373,"Alle þe blode of his brest blende in his face,"
,,2377,In yow is vylany and vyse þat vertue disstryez.'
,,2402,"And ȝe schal in þis Nwe Ȝer aȝayn to my wonez,"
,,2418,"For so watz Adam in erde with one bygyled,"
,,2435,"Bot in syngne of my surfet I schal se hit ofte,"
,,2436,"When I ride in renoun, remorde to myseluen"
,,2447,'Bertilak de Hautdesert I hat in þis londe.
,,2448,"Þurȝ myȝt of Morgne la Faye, þat in my hous lenges,"
,,2464,With his hede in his honde bifore þe hyȝe table.
,,2470,"Make myry in my hous; my meny þe louies,"
,,2479,And þe knyȝt in þe enker-grene
,,2481,Wylde wayez in þe worlde Wowen now rydez
,,2483,"Ofte he herbered in house and ofte al þeroute,"
,,2484,"And mony aventure in vale, and venquyst ofte,"
,,2485,Þat I ne tyȝt at þis tyme in tale to remene.
,,2486,"Þe hurt watz hole þat he hade hent in his nek,"
,,2490,In tokenyng he watz tane in tech of a faute.
,,2491,"And þus he commes to þe court, knyȝt al in sounde."
,,2492,Þer wakned wele in þat wone when wyst þe grete
,,2500,Þe nirt in þe nek he naked hem schewed
,,2505,"Þe blod in his face con melle,"
,,2508,"'Þis is þe bende of þis blame I bere in my nek,"
,,2520,"And þat, for sake of þat segge, in swete to were."
,,2523,As hit is breued in þe best boke of romaunce.
,,2524,"Þus in Arthurus day þis aunter bitidde,"
inmyddes,1,167,"With gay gaudi of grene, þe golde ay inmyddes."
inmyddez,2,1007,"Euen inmyddez, as þe messe metely come,"
,,1933,"He metez me þis godmon inmyddez þe flore,"
inn,1,1452,And maymez þe mute inn melle;
inne,3,2198,Hit is þe corsedest kyrk þat euer I com inne!'
,,2442,Syn ȝe be lorde of þe ȝonder londe þer I haf lent inne
,,2511,"Þis is þe token of vntrawþe þat I am tan inne,"
innermore,1,797,"And innermore he behelde þat halle ful hyȝe,"
innogh,3,289,"Þis ax, þat is heué innogh, to hondele as hym lykes,"
,,404,"'Þat is innogh in Nwe Ȝer, hit nedes no more',"
,,477,"'Now, sir, heng vp þyn ax, þat hatz innogh hewen';"
innoghe,9,77,"Of tryed tolouse, and tars tapites innoghe,"
,,219,Wyth tryed tasselez þerto tacched innoghe
,,733,"Mo nyȝtez þen innoghe in naked rokkez,"
,,806,"Þe fre freke on þe fole hit fayr innoghe þoȝt,"
,,829,"Quen he hef vp his helme, þer hiȝed innoghe"
,,1326,"Þe best boȝed þerto with burnez innoghe,"
,,1497,"Ȝe ar stif innoghe to constrayne wyth strenkþe, ȝif yow lykez,"
,,2004,"Wyth nyȝe innoghe of þe norþe, þe naked to tene;"
,,2125,"As help me God and þe halydam, and oþez innoghe,"
innowe,1,1402,Wyth dayntés nwe innowe.
innoȝe,6,515,Þen notez noble innoȝe
,,801,Chalkwhyt chymnees þer ches he innoȝe
,,826,And syþen stabeled his stede stif men innoȝe.
,,855,"And þere were boun at his bode burnez innoȝe,"
,,891,Seggez hym serued semly innoȝe
,,1252,Bot hit ar ladyes innoȝe þat leuer wer nowþe
inore,1,651,"In þe inore half of his schelde hir ymage depaynted,"
inoȝ,1,1949,"'Inoȝ,' quoþ Sir Gawayn,"
into,12,62,"Fro þe kyng watz cummen with knyȝtes into þe halle,"
,,317,Þe blod schot for scham into his schyre face
,,435,"Steppez into stelbawe and strydez alofte,"
,,699,Til þat he neȝed ful neghe into þe Norþe Walez.
,,744,"Into a forest ful dep, þat ferly watz wylde,"
,,828,For to bryng þis buurne wyth blys into halle;
,,937,Into a cumly closet coyntly ho entrez.
,,1367,"Into þe comly castel, þer þe knyȝt bidez"
,,1520,And broȝt blysse into boure with bountees hor awen--
,,1764,"With smoþe smylyng and smolt þay smeten into merþe,"
,,2025,"Þe gayest into Grece,"
,,2062,Þenn steppez he into stirop and strydez alofte;
inwith,1,2184,"And al watz holȝ inwith, nobot an olde caue,"
inwyth,1,1058,"For alle þe londe inwyth Logres, so me oure lorde help!"
ioy,1,2055,"Þe mon hem maynteines, ioy mot þay haue;"
ioye,5,1010,"Þer watz mete, þer watz myrþe, þer watz much ioye,"
,,1025,"Þe ioye of sayn Jonez day watz gentyle to here,"
,,1248,To þe plesaunce of your prys--hit were a pure ioye.'
,,1887,"With comlych caroles and alle kynnes ioye,"
,,1928,Among þe ladies for luf he ladde much ioye;
ioylez,1,543,Mony ioylez for þat ientyle iapez þer maden.
irked,1,1574,Whettez his whyte tuschez; with hym þen irked
is,114,33,As hit is stad and stoken
,,207,"Þat is grattest in grene when greuez ar bare,"
,,224,"Þe fyrst word þat he warp, 'Wher is', he sayd,"
,,255,And quat-so þy wylle is we schal wyt after.'
,,258,"Bot for þe los of þe, lede, is lyft vp so hyȝe,"
,,263,"And here is kydde cortaysye, as I haf herd carp,"
,,282,"Here is no mon me to mach, for myȝtez so wayke."
,,284,"For hit is Ȝol and Nwe Ȝer, and here ar ȝep mony:"
,,289,"Þis ax, þat is heué innogh, to hondele as hym lykes,"
,,309,"'What, is þis Arthures hous,' quoþ þe haþel þenne,"
,,311,"Where is now your sourquydrye and your conquestes,"
,,313,Now is þe reuel and þe renoun of þe Rounde Table
,,323,"Ande sayde, 'Haþel, by heuen, þyn askyng is nys,"
,,325,I know no gome þat is gast of þy grete wordes;
,,348,"For me þink hit not semly, as hit is soþ knawen,"
,,349,"Þer such an askyng is heuened so hyȝe in your sale,"
,,353,Ne better bodyes on bent þer baret is rered.
,,358,"And syþen þis note is so nys þat noȝt hit yow falles,"
,,398,"'Where schulde I wale þe,' quoþ Gauan, 'where is þy place?"
,,404,"'Þat is innogh in Nwe Ȝer, hit nedes no more',"
,,519,"Wela wynne is þe wort þat waxes þeroute,"
,,627,Hit is a syngne þat Salamon set sumquyle
,,629,"For hit is a figure þat haldez fyue poyntez,"
,,631,And ayquere hit is endelez; and Englych hit callen
,,666,Þat is þe pure pentaungel wyth þe peple called
,,668,"Now grayþed is Gawan gay,"
,,676,"Carande for þat comly: 'Bi Kryst, hit is scaþe"
,,678,"To fynde hys fere vpon folde, in fayth, is not eþe."
,,757,"And Mary, þat is myldest moder so dere,"
,,839,"Þat here is; al is yowre awen, to haue at yowre wylle"
,,908,"Þat is þe ryche ryal kyng of þe Rounde Table,"
,,916,"Apendes to hys persoun, and praysed is euer;"
,,917,Byfore alle men vpon molde his mensk is þe most.
,,921,"Wich spede is in speche vnspurd may we lerne,"
,,1040,"'Grant merci, sir,' quoþ Gawayn, 'in god fayth hit is yowrez,"
,,1041,Al þe honour is your awen--þe heȝe kyng yow ȝelde!
,,1081,Hit is not two myle henne.'
,,1084,"Now acheued is my chaunce, I schal at your wylle"
,,1115,"'Who bryngez vus þis beuerage, þis bargayn is maked':"
,,1217,"And þat is þe best, be my dome, for me byhouez nede':"
,,1229,"Your honour, your hendelayk is hendely praysed"
,,1268,"Hit is þe worchyp of yourself, þat noȝt bot wel connez.'"
,,1298,"'So god as Gawayn gaynly is halden,"
,,1299,"And cortaysye is closed so clene in hymseluen,"
,,1320,"And ay þe lorde of þe londe is lent on his gamnez,"
,,1370,Þe lorde is comen þertylle;
,,1382,"'Ȝe iwysse,' quoþ þat oþer wyȝe, 'here is wayth fayrest"
,,1386,"'Þis is soth,' quoþ þe segge, 'I say yow þat ilke:"
,,1393,"'Hit is god,' quoþ þe godmon, 'grant mercy þerfore."
,,1394,"Hit may be such hit is þe better, and ȝe me breue wolde"
,,1483,"Wyȝe þat is so wel wrast alway to god,"
,,1488,"'What is þat?' quoþ þe wyghe, 'Iwysse I wot neuer;"
,,1489,"If hit be sothe þat ȝe breue, þe blame is myn awen.'"
,,1491,'Quere-so countenaunce is couþe quikly to clayme;
,,1499,"'Ȝe, be God,' quoþ Gawayn, 'good is your speche,"
,,1500,"Bot þrete is vnþryuande in þede þer I lende,"
,,1501,And vche gift þat is geuen not with goud wylle.
,,1514,"Is þe lel layk of luf, þe lettrure of armes;"
,,1516,"Hit is þe tytelet token and tyxt of her werkkez,"
,,1535,Whil my lorde is fro hame.'
,,1537,"Gret is þe gode gle, and gomen to me huge,"
,,1636,"'Now, Gawayn,' quoþ þe godmon, 'þis gomen is your awen"
,,1638,"'Hit is sothe,' quoþ þe segge, 'and as siker trwe"
,,1684,"Þis watz grayþely graunted, and Gawayn is lenged,"
,,1748,Þis morning is so clere?'
,,1793,"'Þat is a worde,' quoþ þat wyȝt, 'þat worst is of alle,"
,,1807,Hit is not your honour to haf at þis tyme
,,1812,"Iche tolke mon do as he is tan, tas to non ille"
,,1848,'For hit is symple in hitself? And so hit wel semez.
,,1849,"Lo! so hit is littel, and lasse hit is worþy;"
,,1852,"For quat gome so is gorde with þis grene lace,"
,,1854,"Þer is no haþel vnder heuen tohewe hym þat myȝt,"
,,1895,Ȝet is þe lorde on þe launde ledande his gomnes.
,,1925,"Þe lorde is lyȝt at þe laste at hys lef home,"
,,1942,'As is pertly payed þe chepez þat I aȝte.'
,,1943,"'Mary,' quoþ þat oþer mon, 'myn is bihynde,"
,,1946,And þat is ful pore for to pay for suche prys þinges
,,2054,"'Here is a meyny in þis mote þat on menske þenkkez,"
,,2099,Þe place þat ȝe prece to ful perelous is halden;
,,2101,"For he is stiffe and sturne, and to strike louies,"
,,2102,"And more he is þen any mon vpon myddelerde,"
,,2108,"For he is a mon methles, and mercy non vses,"
,,2191,"'Now iwysse,' quoþ Wowayn, 'wysty is here;"
,,2192,"Þis oritore is vgly, with erbez ouergrowen;"
,,2195,"Now I fele hit is þe fende, in my fyue wyttez,"
,,2197,"Þis is a chapel of meschaunce, þat chekke hit bytyde!"
,,2198,Hit is þe corsedest kyrk þat euer I com inne!'
,,2208,"Is ryched at þe reuerence me, renk, to mete"
,,2216,For now is gode Gawayn goande ryȝt here.
,,2272,"'Þou art not Gawayn,' quoþ þe gome, 'þat is so goud halden,"
,,2296,Þat raþeled is in roché grounde with rotez a hundreth.
,,2360,"'For hit is my wede þat þou werez, þat ilke wouen girdel,"
,,2366,"As perle bi þe quite pese is of prys more,"
,,2367,"So is Gawayn, in god fayth, bi oþer gay knyȝtez."
,,2377,In yow is vylany and vyse þat vertue disstryez.'
,,2383,Þat is larges and lewté þat longez to knyȝtez.
,,2388,Al fawty is my fare;
,,2397,"And I gif þe, sir, þe gurdel þat is golde-hemmed,"
,,2398,"For hit is grene as my goune. Sir Gawayn, ȝe maye"
,,2416,"Bot hit is no ferly þaȝ a fole madde,"
,,2438,How tender hit is to entyse teches of fylþe;
,,2455,Þerfore hit is hir name:
,,2465,"Þat is ho þat is at home, þe auncian lady;"
,,2466,"Ho is euen þyn aunt, Arþurez half-suster,"
,,2468,"Hade Arþur vpon, þat aþel is nowþe."
,,2508,"'Þis is þe bende of þis blame I bere in my nek,"
,,2509,Þis is þe laþe and þe losse þat I laȝt haue
,,2511,"Þis is þe token of vntrawþe þat I am tan inne,"
,,2514,For þer hit onez is tachched twynne wil hit neuer.'
,,2523,As hit is breued in þe best boke of romaunce.
iugged,1,1857,Hit were a juel for þe jopardé þat hym iugged were:
iustyng,1,97,"To joyne wyth hym in iustyng, in jopardé to lay,"
iwyis,1,264,"And þat hatz wayned me hider, iwyis, at þis tyme."
iwys,1,252,"And sayde, 'Wyȝe, welcum iwys to þis place,"
iwysse,17,1038,"'Iwysse sir, quyl I leue, me worþez þe better"
,,1068,"Forþi, iwysse, bi ȝowre wylle, wende me bihoues,"
,,1227,"For I wene wel, iwysse, Sir Wowen ȝe are,"
,,1231,"And now ȝe ar here, iwysse, and we bot oure one;"
,,1277,"'Iwysse, worþy,' quoþ þe wyȝe, 'ȝe haf waled wel better,"
,,1303,"Þen quoþ Wowen: 'Iwysse, worþe as yow lykez;"
,,1382,"'Ȝe iwysse,' quoþ þat oþer wyȝe, 'here is wayth fayrest"
,,1388,Iwysse with as god wylle hit worþez to ȝourez.'
,,1488,"'What is þat?' quoþ þe wyghe, 'Iwysse I wot neuer;"
,,1495,"If I were werned, I were wrang, iwysse, ȝif I profered.'"
,,1558,"And went hir waye, iwysse."
,,1802,"'Now iwysse,' quoþ þat wyȝe, 'I wolde I hade here"
,,1865,"Þat neuer wyȝe schulde hit wyt, iwysse, bot þay twayne"
,,1891,"Of hym, and sayde, 'Iwysse,"
,,2191,"'Now iwysse,' quoþ Wowayn, 'wysty is here;"
,,2242,"Iwysse þou art welcom, wyȝe, to my place,"
,,2528,"iwysse,"
jesus,1,777,"Jesus and sayn Gilyan, þat gentyle ar boþe,"
jolilé,1,42,"Justed ful jolilé þise gentyle kniȝtes,"
joly,1,86,"He watz so joly of his joyfnes, and sumquat childgered:"
jon,1,1789,"Þe knyȝt sayde, 'Be sayn Jon,'"
jonez,1,1025,"Þe ioye of sayn Jonez day watz gentyle to here,"
jopardé,2,97,"To joyne wyth hym in iustyng, in jopardé to lay,"
,,1857,Hit were a juel for þe jopardé þat hym iugged were:
joy,1,1177,And drof þat day wyth joy
joye,3,913,And alle þe men in þat mote maden much joye
,,1682,"Make we mery quyl we may and mynne vpon joye,"
,,1763,Wiȝt wallande joye warmed his hert.
joyez,1,648,Þat alle his forsnes he feng at þe fyue joyez
joyfnes,1,86,"He watz so joly of his joyfnes, and sumquat childgered:"
joyne,1,97,"To joyne wyth hym in iustyng, in jopardé to lay,"
juel,1,1857,Hit were a juel for þe jopardé þat hym iugged were:
justed,1,42,"Justed ful jolilé þise gentyle kniȝtes,"
kachande,1,1582,"Til þe knyȝt com hymself, kachande his blonk,"
kachez,1,2177,"Þe knyȝt kachez his caple, and com to þe lawe,"
kallen,1,978,"Þay kallen hym of aquoyntaunce, and he hit quyk askez"
kanel,1,2300,"And kepe þy kanel at þis kest, ȝif hit keuer may.'"
karp,4,698,"Ne no gome bot God bi gate wyth to karp,"
,,706,"If þay hade herde any karp of a knyȝt grene,"
,,1222,I schulde keuer þe more comfort to karp yow wyth.'
,,1226,And syþen karp wyth my knyȝt þat I kaȝt haue;
kastel,1,2069,'Þis kastel to Kryst I kenne':
kauelacion,1,2277,Ne kest no kauelacion in kyngez hous Arthor.
kay,1,422,"Þe kay fot on þe folde he before sette,"
kayre,2,1051,"So kenly fro þe kyngez kourt to kayre al his one,"
,,1671,"Bot þe knyȝt craued leue to kayre on þe morn,"
kayred,1,43,Syþen kayred to þe court caroles to make.
kaȝt,3,645,"Þat Cryst kaȝt on þe croys, as þe crede tellez;"
,,1226,And syþen karp wyth my knyȝt þat I kaȝt haue;
,,2378,"Þenne he kaȝt to þe knot, and þe kest lawsez,"
kaȝten,1,1121,Kysten ful comlyly and kaȝten her leue.
kende,1,1490,"'Ȝet I kende yow of kyssyng,' quoþ þe clere þenne,"
kene,3,321,Þe kyng as kene bi kynde
,,482,"Þe kyng and þe gode knyȝt, and kene men hem serued"
,,2408,Þat watz your enmy kene.'
kenel,1,1141,"Vnclosed þe kenel dore and calde hem þeroute,"
kenet,1,1702,"A kenet kyres þerof, þe hunt on hym calles;"
kenly,2,1051,"So kenly fro þe kyngez kourt to kayre al his one,"
,,2003,"Clowdes kesten kenly þe colde to þe erþe,"
kenne,1,2069,'Þis kastel to Kryst I kenne':
kennen,1,2474,Þay acolen and kyssen and kennen ayþer oþer
kennes,1,1485,"And if mon kennes yow hom to knowe, ȝe kest hom of your mynde;"
kepe,6,293,"I quit-clayme hit for euer, kepe hit as his auen,"
,,307,"When non wolde kepe hym with carp he coȝed ful hyȝe,"
,,372,"'Kepe þe, cosyn,' quoþ þe kyng, 'þat þou on kyrf sette,"
,,547,"Ȝe knowe þe cost of þis cace, kepe I no more"
,,2144,"And þe lyst lese þy lyf, þe lette I ne kepe."
,,2300,"And kepe þy kanel at þis kest, ȝif hit keuer may.'"
keped,2,1313,"And þenne he meued to his mete þat menskly hym keped,"
,,2018,"And syþen his oþer harnays, þat holdely watz keped,"
kepes,2,1062,"And of þe knyȝt þat hit kepes, of colour of grene."
,,1689,"Þe lorde þat his craftez kepes,"
kepez,1,2150,And þe borelych burne on bent þat hit kepez.
ker,1,1422,"SONE þay calle of a quest in a ker syde,"
kerchofes,1,957,"Kerchofes of þat on, wyth mony cler perlez,"
kerre,1,1432,"In a knot bi a clyffe, at þe kerre syde,"
kest,12,64,"Loude crye watz þer kest of clerkez and oþer,"
,,228,"To knyȝtez he kest his yȝe,"
,,1148,Couples huntes of kest;
,,1193,"Kest vp þe cortyn and creped withinne,"
,,1356,And þe corbeles fee þay kest in a greue;
,,1485,"And if mon kennes yow hom to knowe, ȝe kest hom of your mynde;"
,,1856,"Þen kest þe knyȝt, and hit come to his hert"
,,2244,And þou knowez þe couenauntez kest vus bytwene:
,,2277,Ne kest no kauelacion in kyngez hous Arthor.
,,2300,"And kepe þy kanel at þis kest, ȝif hit keuer may.'"
,,2378,"Þenne he kaȝt to þe knot, and þe kest lawsez,"
,,2415,Þat þus hor knyȝt wyth hor kest han koyntly bigyled.
kesten,2,1650,Kesten cloþen vpon; clere lyȝt þenne
,,2003,"Clowdes kesten kenly þe colde to þe erþe,"
kestes,1,623,"He braydez hit by þe bauderyk, aboute þe hals kestes,"
keuer,5,753,"Carande for his costes, lest he ne keuer schulde"
,,807,"If he myȝt keuer to com þe cloyster wythinne,"
,,1222,I schulde keuer þe more comfort to karp yow wyth.'
,,1255,"Keuer hem comfort and colen her carez,"
,,2300,"And kepe þy kanel at þis kest, ȝif hit keuer may.'"
keuered,1,1756,"Bot quen þat comly com he keuered his wyttes,"
keuerez,2,1540,"With anyskynnez countenaunce, hit keuerez me ese;"
,,2223,"And syþen he keuerez bi a cragge, and comez of a hole,"
klerk,1,2452,"With þat conable klerk, þat knowes alle your knyȝtez"
klyf,1,715,"Mony klyf he ouerclambe in contrayez straunge,"
klyffes,1,1167,Wyth such a crakkande kry as klyffes haden brusten.
knaged,1,578,Aboute his knez knaged wyth knotez of golde;
knape,1,2138,Þaȝe he be a sturn knape
knarre,1,1435,"Þay vmbekesten þe knarre and þe knot boþe,"
knarrez,2,723,"Sumwhyle wyth wodwos, þat woned in þe knarrez,"
,,2168,And ruȝe knokled knarrez with knorned stonez;
knawen,2,348,"For me þink hit not semly, as hit is soþ knawen,"
,,635,"Gawan watz for gode knawen, and as golde pured,"
kneled,3,368,"Kneled doun bifore þe kyng, and cachez þat weppen;"
,,821,And kneled doun on her knes vpon þe colde erþe
,,2074,"Prayses þe porter bifore þe prynce kneled,"
knes,1,821,And kneled doun on her knes vpon þe colde erþe
knew,2,684,Who knew euer any kyng such counsel to take
,,1850,"Bot who-so knew þe costes þat knit ar þerinne,"
knez,1,578,Aboute his knez knaged wyth knotez of golde;
knit,2,1832,"Knit vpon hir kyrtel vnder þe clere mantyle,"
,,1850,"Bot who-so knew þe costes þat knit ar þerinne,"
knitten,1,1332,"Schaued wyth a scharp knyf, and þe schyre knitten;"
kniȝtes,2,42,"Justed ful jolilé þise gentyle kniȝtes,"
,,111,Boþe þe kynges sistersunes and ful siker kniȝtes;
knokke,1,2381,For care of þy knokke cowardyse me taȝt
knokled,1,2168,And ruȝe knokled knarrez with knorned stonez;
knorned,1,2168,And ruȝe knokled knarrez with knorned stonez;
knot,8,194,"Syþen þrawen wyth a þwong a þwarle knot alofte,"
,,632,"Oueral, as I here, þe endeles knot."
,,664,Þerfore on his schene schelde schapen watz þe knot
,,1335,Lystily for laucyng þe lere of þe knot;
,,1432,"In a knot bi a clyffe, at þe kerre syde,"
,,1435,"Þay vmbekesten þe knarre and þe knot boþe,"
,,2378,"Þenne he kaȝt to þe knot, and þe kest lawsez,"
,,2489,"Loken vnder his lyfte arme, þe lace, with a knot,"
knotez,1,578,Aboute his knez knaged wyth knotez of golde;
knottes,1,188,"Wel cresped and cemmed, wyth knottes ful mony"
know,3,325,I know no gome þat is gast of þy grete wordes;
,,400,"Ne I know not þe, knyȝt, by cort ne þi name."
,,2362,"Now know I wel þy cosses, and þy costes als,"
knowe,7,357,No bounté bot your blod I in my bodé knowe;
,,547,"Ȝe knowe þe cost of þis cace, kepe I no more"
,,1098,"Nauþer of sostnaunce ne of slepe, soþly I knowe;"
,,1485,"And if mon kennes yow hom to knowe, ȝe kest hom of your mynde;"
,,1637,"Bi fyn forwarde and faste, faythely ȝe knowe.'"
,,1646,Ȝe ar þe best þat I knowe!
,,2096,"Bot I schal say yow for soþe, syþen I yow knowe,"
knowen,3,454,Þe knyȝt of þe grene chapel men knowen me mony;
,,1273,"For þe costes þat I haf knowen vpon þe, knyȝt, here,"
,,1512,"So cortayse, so knyȝtyly, as ȝe ar knowen oute--"
knowes,1,2452,"With þat conable klerk, þat knowes alle your knyȝtez"
knowez,2,940,"And couþly hym knowez and callez hym his nome,"
,,2244,And þou knowez þe couenauntez kest vus bytwene:
knwe,2,460,"To quat kyth he becom knwe non þere,"
,,2010,Bi vch kok þat crue he knwe wel þe steuen.
knyf,1,1332,"Schaued wyth a scharp knyf, and þe schyre knitten;"
knyffe,1,2044,oþer knyffe.
knygez,1,2478,"To þe knygez burȝ buskez bolde,"
knyt,1,1643,"Of alle þe couenauntes þat we knyt, syþen I com hider,"
knyuez,1,1338,"Þen scher þay out þe schulderez with her scharp knyuez,"
knyȝt,67,96,Oþer sum segg hym bisoȝt of sum siker knyȝt
,,276,"And sayd, 'Sir cortays knyȝt,"
,,366,Þen comaunded þe kyng þe knyȝt for to ryse;
,,377,"Þen carppez to Sir Gawan þe knyȝt in þe grene,"
,,381,"'In god fayth,' quoþ þe goode knyȝt, 'Gawan I hatte,"
,,390,"'Bigog,' quoþ þe grene knyȝt, 'Sir Gawan, me lykes"
,,400,"Ne I know not þe, knyȝt, by cort ne þi name."
,,417,"Þe grene knyȝt vpon grounde grayþely hym dresses,"
,,454,Þe knyȝt of þe grene chapel men knowen me mony;
,,482,"Þe kyng and þe gode knyȝt, and kene men hem serued"
,,558,"For to counseyl þe knyȝt, with care at her hert."
,,563,"Þe knyȝt mad ay god chere,"
,,633,"Forþy hit acordez to þis knyȝt and to his cler armez,"
,,641,And gentylest knyȝt of lote.
,,650,At þis cause þe knyȝt comlyche hade
,,658,"Now alle þese fyue syþez, for soþe, were fetled on þis knyȝt,"
,,706,"If þay hade herde any karp of a knyȝt grene,"
,,711,Þe knyȝt tok gates straunge
,,737,"Bi contray cayrez þis knyȝt, tyl Krystmasse euen,"
,,739,Þe knyȝt wel þat tyde
,,770,"A castel þe comlokest þat euer knyȝt aȝte,"
,,813,And haylsed þe knyȝt erraunt.
,,819,"And folke frely hym wyth, to fonge þe knyȝt."
,,872,Þat a comloker knyȝt neuer Kryst made
,,944,"Þenne lyst þe lady to loke on þe knyȝt,"
,,1046,To holde lenger þe knyȝt;
,,1062,"And of þe knyȝt þat hit kepes, of colour of grene."
,,1091,"Þenne he carped to þe knyȝt, criande loude,"
,,1226,And syþen karp wyth my knyȝt þat I kaȝt haue;
,,1262,Þe knyȝt with speches skere
,,1273,"For þe costes þat I haf knowen vpon þe, knyȝt, here,"
,,1280,"And yowre knyȝt I becom, and Kryst yow forȝelde.'"
,,1304,"I schal kysse at your comaundement, as a knyȝt fallez,"
,,1367,"Into þe comly castel, þer þe knyȝt bidez"
,,1477,"Ho commes to þe cortyn, and at þe knyȝt totes."
,,1492,Þat bicumes vche a knyȝt þat cortaysy vses.'
,,1521,"And ȝe ar knyȝt comlokest kyd of your elde,"
,,1539,"And pyne yow with so pouer a mon, as play wyth your knyȝt"
,,1582,"Til þe knyȝt com hymself, kachande his blonk,"
,,1630,"Þat oþer knyȝt ful comly comended his dedez,"
,,1658,And euer oure luflych knyȝt þe lady bisyde.
,,1671,"Bot þe knyȝt craued leue to kayre on þe morn,"
,,1732,Whyle þe hende knyȝt at home holsumly slepes
,,1770,Nif Maré of hir knyȝt mynne.
,,1789,"Þe knyȝt sayde, 'Be sayn Jon,'"
,,1856,"Þen kest þe knyȝt, and hit come to his hert"
,,1870,Ho hatz kyst þe knyȝt so toȝt.
,,1937,"Þen acoles he þe knyȝt and kysses hym þryes,"
,,1939,"'Bi Kryst,' quoþ þat oþer knyȝt, 'Ȝe cach much sele"
,,1979,Þe knyȝt hatz tan his leue.
,,2036,Swyþe sweþled vmbe his swange swetely þat knyȝt
,,2113,"Com ȝe þere, ȝe be kylled, may þe knyȝt rede,"
,,2133,"I were a knyȝt kowarde, I myȝt not be excused."
,,2156,"Lepez hym ouer þe launde, and leuez þe knyȝt þere"
,,2177,"Þe knyȝt kachez his caple, and com to þe lawe,"
,,2187,"'We! Lorde,' quoþ þe gentyle knyȝt,"
,,2214,Thenne þe knyȝt con calle ful hyȝe:
,,2237,"Sir Gawayn þe knyȝt con mete,"
,,2275,Such cowardise of þat knyȝt cowþe I neuer here.
,,2387,"I biknowe yow, knyȝt, here stylle,"
,,2415,Þat þus hor knyȝt wyth hor kest han koyntly bigyled.
,,2479,And þe knyȝt in þe enker-grene
,,2491,"And þus he commes to þe court, knyȝt al in sounde."
,,2494,"Þe kyng kyssez þe knyȝt, and þe whene alce,"
,,2495,"And syþen mony syker knyȝt þat soȝt hym to haylce,"
,,2498,"Þe chaunce of þe chapel, þe chere of þe knyȝt,"
,,2515,"Þe kyng comfortez þe knyȝt, and alle þe court als"
knyȝtes,2,62,"Fro þe kyng watz cummen with knyȝtes into þe halle,"
,,450,"As þou hatz hette in þis halle, herande þise knyȝtes;"
knyȝtez,11,51,"Þe most kyd knyȝtez vnder Krystes seluen,"
,,228,"To knyȝtez he kest his yȝe,"
,,473,Among þise kynde caroles of knyȝtez and ladyez.
,,540,Knyȝtez ful cortays and comlych ladies
,,685,As knyȝtez in cauelaciounz on Crystmasse gomnez!'
,,827,Knyȝtez and swyerez comen doun þenne
,,1515,"For to telle of þis teuelyng of þis trwe knyȝtez,"
,,2367,"So is Gawayn, in god fayth, bi oþer gay knyȝtez."
,,2383,Þat is larges and lewté þat longez to knyȝtez.
,,2401,Of þe chaunce of þe grene chapel at cheualrous knyȝtez.
,,2452,"With þat conable klerk, þat knowes alle your knyȝtez"
knyȝtly,1,977,"He kysses hir comlyly, and knyȝtly he melez."
knyȝtyly,1,1512,"So cortayse, so knyȝtyly, as ȝe ar knowen oute--"
kok,1,2010,Bi vch kok þat crue he knwe wel þe steuen.
kort,1,2342,Ne kyd bot as couenaunde at kyngez kort schaped.
kourt,1,1051,"So kenly fro þe kyngez kourt to kayre al his one,"
kowarde,1,2133,"I were a knyȝt kowarde, I myȝt not be excused."
koynt,1,880,Whyssynes vpon queldepoyntes þat koynt wer boþe;
koyntly,1,2415,Þat þus hor knyȝt wyth hor kest han koyntly bigyled.
koyntyse,1,2449,"And koyntyse of clergye, bi craftes wel lerned,"
kry,1,1167,Wyth such a crakkande kry as klyffes haden brusten.
kryst,11,597,"And þay hym kyst and conueyed, bikende hym to Kryst."
